lon,lat,value
202.5,-73.75,3.762911
203.5,-73.75,3.7558835
204.5,-73.75,3.743552
205.5,-73.75,3.7239153
206.5,-73.75,3.691143
207.5,-73.75,3.6414232
208.5,-73.75,3.571173
209.5,-73.75,3.4725192
210.5,-73.75,3.343187
211.5,-73.75,3.1820302
212.5,-73.75,2.9837422
213.5,-73.75,2.7533727
214.5,-73.75,2.5004816
215.5,-73.75,2.2354252
216.5,-73.75,1.9647498
217.5,-73.75,1.6857607
218.5,-73.75,1.3933583
219.5,-73.75,1.0938896
220.5,-73.75,0.80770975
221.5,-73.75,0.5561205
222.5,-73.75,0.36030188
223.5,-73.75,0.23255238
224.5,-73.75,0.1526074
225.5,-73.75,0.09299627
226.5,-73.75,0.04621353
227.5,-73.75,0.0128831025
228.5,-73.75,-0.009901987
229.5,-73.75,-0.023737622
230.5,-73.75,-0.026812788
231.5,-73.75,-0.030818485
232.5,-73.75,-0.043127082
241.5,-73.75,-0.9137408
242.5,-73.75,-0.76183605
243.5,-73.75,-0.65908676
244.5,-73.75,-0.6008204
245.5,-73.75,-0.5684744
246.5,-73.75,-0.55307555
247.5,-73.75,-0.5445077
248.5,-73.75,-0.5496644
249.5,-73.75,-0.5780111
250.5,-73.75,-0.6373996
251.5,-73.75,-0.5938812
252.5,-73.75,-0.51906306
253.5,-73.75,-0.44133618
254.5,-73.75,-0.37329292
255.5,-73.75,-0.32953703
256.5,-73.75,-0.30983558
299.5,-73.75,-1.1804069
300.5,-73.75,-1.1474354
301.5,-73.75,-1.0800554
302.5,-73.75,-1.0047947
303.5,-73.75,-0.9389845
304.5,-73.75,-0.8805288
305.5,-73.75,-0.8222093
306.5,-73.75,-0.7625369
307.5,-73.75,-0.6942497
308.5,-73.75,-0.6194828
309.5,-73.75,-0.54758835
310.5,-73.75,-0.47267777
311.5,-73.75,-0.3943506
312.5,-73.75,-0.31719032
313.5,-73.75,-0.23828231
314.5,-73.75,-0.16221733
315.5,-73.75,-0.09042816
316.5,-73.75,-0.020702343
317.5,-73.75,0.03730525
318.5,-73.75,0.086249426
319.5,-73.75,0.13250922
320.5,-73.75,0.17253157
321.5,-73.75,0.21079816
322.5,-73.75,0.24883501
323.5,-73.75,0.2845606
324.5,-73.75,0.31574255
325.5,-73.75,0.3418627
326.5,-73.75,0.36218557
327.5,-73.75,0.37639993
328.5,-73.75,0.38688618
329.5,-73.75,0.3957688
330.5,-73.75,0.40243694
331.5,-73.75,0.40597343
332.5,-73.75,0.40747336
333.5,-73.75,0.40681762
334.5,-73.75,0.41268346
335.5,-73.75,0.4219222
336.5,-73.75,0.4324465
337.5,-73.75,0.44523555
338.5,-73.75,0.44359708
339.5,-73.75,0.45254087
169.5,-73.25,-1.46559
170.5,-73.25,-0.97513497
171.5,-73.25,-0.46803465
172.5,-73.25,-0.01823717
173.5,-73.25,0.5284445
174.5,-73.25,1.201378
175.5,-73.25,1.8913372
176.5,-73.25,2.4119012
177.5,-73.25,2.7073202
178.5,-73.25,2.844903
179.5,-73.25,2.906599
180.5,-73.25,2.9405396
181.5,-73.25,2.978479
182.5,-73.25,3.0538554
183.5,-73.25,3.1663163
184.5,-73.25,3.2924087
185.5,-73.25,3.4160175
186.5,-73.25,3.5273244
187.5,-73.25,3.6146748
188.5,-73.25,3.6755826
189.5,-73.25,3.7171917
190.5,-73.25,3.7478106
191.5,-73.25,3.7715902
192.5,-73.25,3.7911549
193.5,-73.25,3.8088284
194.5,-73.25,3.826155
195.5,-73.25,3.842693
196.5,-73.25,3.85707
197.5,-73.25,3.8703184
198.5,-73.25,3.8827715
199.5,-73.25,3.8934572
200.5,-73.25,3.901754
201.5,-73.25,3.9083755
202.5,-73.25,3.9135606
203.5,-73.25,3.914762
204.5,-73.25,3.9122338
205.5,-73.25,3.9067748
206.5,-73.25,3.8952699
207.5,-73.25,3.877235
208.5,-73.25,3.8529196
209.5,-73.25,3.8185434
210.5,-73.25,3.7728915
211.5,-73.25,3.7146776
212.5,-73.25,3.6380649
213.5,-73.25,3.5399973
214.5,-73.25,3.4167101
215.5,-73.25,3.265282
216.5,-73.25,3.0821493
217.5,-73.25,2.861934
218.5,-73.25,2.5998006
219.5,-73.25,2.2905374
220.5,-73.25,1.9402586
221.5,-73.25,1.5643966
222.5,-73.25,1.1948129
223.5,-73.25,0.87532187
224.5,-73.25,0.63022906
225.5,-73.25,0.4463028
226.5,-73.25,0.30285662
227.5,-73.25,0.19801193
228.5,-73.25,0.123354614
229.5,-73.25,0.067393996
230.5,-73.25,0.024396947
231.5,-73.25,-0.0171915
232.5,-73.25,-0.06487037
233.5,-73.25,-0.12420235
234.5,-73.25,-0.166884
235.5,-73.25,-0.20725796
236.5,-73.25,-0.24969107
237.5,-73.25,-0.29180253
238.5,-73.25,-0.34080014
239.5,-73.25,-0.3958235
240.5,-73.25,-0.47220293
241.5,-73.25,-0.5730466
242.5,-73.25,-0.52937704
243.5,-73.25,-0.47970274
244.5,-73.25,-0.44124535
245.5,-73.25,-0.41467384
246.5,-73.25,-0.39752004
247.5,-73.25,-0.38426313
248.5,-73.25,-0.37882382
249.5,-73.25,-0.38096225
250.5,-73.25,-0.36791366
251.5,-73.25,-0.32196185
252.5,-73.25,-0.256834
253.5,-73.25,-0.18500869
254.5,-73.25,-0.12232926
255.5,-73.25,-0.086803675
275.5,-73.25,0.17530619
276.5,-73.25,0.22194088
277.5,-73.25,0.25138405
278.5,-73.25,0.28487447
300.5,-73.25,-1.2456546
301.5,-73.25,-1.1777864
302.5,-73.25,-1.0963049
303.5,-73.25,-1.0191358
304.5,-73.25,-0.9395262
305.5,-73.25,-0.85593164
306.5,-73.25,-0.7731612
307.5,-73.25,-0.68666494
308.5,-73.25,-0.5970029
